language,sentence,error_type
English,The cat runned quickly across the street to catch the mouse.,Morphological Error
English,She has two childs who are very talented in music.,Morphological Error
English,The teacher adviced the students to study harder for the exam.,Morphological Error
English,The cat barked loudly at the mailman as it chased the car down the street.,Semantic Reversal Anomaly
English,The teacher praised the students for their excellent work while scolding them for their creativity.,Semantic Reversal Anomaly
English,The chef served a delicious salad made of chocolate and fresh vegetables for dessert.,Semantic Reversal Anomaly
English,The cat chased a mouse that was hiding under the table.,Article Noun Mismatch
English,She wants to become an engineer who designs the bridges.,Article Noun Mismatch
English,The quickly dog ran across the street.,Word Order Violation
English,She the book read yesterday that was interesting.,Word Order Violation
Español,El niño jugaba con sus amiguitos en el parque cuando de repente se cayo.,Morphological Error
Español,Las flores en el jardín están muy hermosas y su fragancia son agradable.,Morphological Error
Español,"Ella pensaba que los libros que le prestaron eran muy interesantes, pero no lo eran.",Morphological Error
Español,El perro ladró suavemente mientras el gato dormía ruidosamente en la ventana.,Semantic Reversal Anomaly
Español,La niña comió un helado caliente mientras su hermano bebía agua fría.,Semantic Reversal Anomaly
Español,El coche aceleró lentamente mientras la bicicleta se detuvo rápidamente en la esquina.,Semantic Reversal Anomaly
Español,El perro está en la casa de la gato.,Article Noun Mismatch
Español,Una niña juega con el balón de la perro.,Article Noun Mismatch
Español,El perro rápidamente corre hacia el parque.,Word Order Violation
Español,La casa grande el niño pintó de azul.,Word Order Violation
Deutsch,Die Katze spielten mit dem Ball im Garten.,Morphological Error
Deutsch,Die Kinder läuft schnell zur Schule jeden Morgen.,Morphological Error
Deutsch,"Der Lehrer erklärt die Regel, die die Schüler nicht verstanden haben.",Morphological Error
Deutsch,"Der Hund jagte die Katze, während sie ihm einen Knochen brachte.",Semantic Reversal Anomaly
Deutsch,"Die Lehrerin lobte den Schüler, weil er die Prüfung nicht bestanden hatte.",Semantic Reversal Anomaly
Deutsch,"Der Arzt empfahl dem Patienten, mehr zu essen, um Gewicht zu verlieren.",Semantic Reversal Anomaly
Deutsch,Der Hund spielt mit die Katze im Garten.,Article Noun Mismatch
Deutsch,Eine Apfel liegt auf dem Tisch.,Article Noun Mismatch
Deutsch,Der Hund den Ball spielt im Garten.,Word Order Violation
Deutsch,Im Park die Kinder spielen fröhlich.,Word Order Violation
