language,sentence
English,The horse raced past the barn fell.
English,The old man the boats.
English,The man who hunts ducks out on weekends.
English,The cotton clothing is made of grows in Mississippi.
English,The florist sent the flowers was pleased.
English,Fat people eat accumulates.
English,The girl told the story cried.
English,The dog chased the cat meowed.
English,The raft floated down the river sank.
English,The boy convinced the girl studied hard.
English,The man whistling tunes pianos.
English,The man who the woman loved kissed died.
English,The author the critics praised won the award.
English,The cheese the mouse the cat chased ate was moldy.
English,The girl knew the answer was wrong.
English,The coach knew the players would lose disappointed the fans.
English,The detective examined by the reporter fainted.
English,The defendant examined by the lawyer fainted.
English,The witness said the defendant lied was nervous.
English,The journalist interviewed the actor was famous.
English,The scientist proved the theory was false.
English,The teacher said the student cheated was expelled.
English,The doctor said the patient recovered was happy.
English,The dog found in the park was hungry.
English,The player tossed the ball missed the catch
