language,sentence
English,The man whistling tunes patted the dog barked loudly.
English,The horse raced past the barn fell over the fence.
English,The old man the boat.
English,The horse that was raced past the barn fell over the fence.
English,The man who hunts ducks out on weekends.
Español,El niño que vio a la niña con el perro corrió.
Español,El perro que ladró a la mujer que paseaba por el parque se fue.
Español,El hombre que vio a la mujer con el telescopio sonrió.
Español,La niña que el perro persiguió a la mujer sonrió.
Español,El gato que cazó a la paloma volando se escapó.
Deutsch,"Der Junge, der den Ball geworfen hatte, rannte schnell, um ihn zu fangen."
Deutsch,"Die Frau, die den Mann mit dem Regenschirm sah, ging schnell nach Hause, um ihn zu treffen."
Deutsch,"Der Hund, der den Ball jagte, bellte laut, als er ihn fangen wollte."
Deutsch,"Der alte Mann die Straße überquerend sah den Hund, der bellte laut."
Deutsch,"Die Katze, die den Vogel fangen wollte, sprang über den Zaun und landete sanft."
