language_pair,sentence
English/Español,The mujer who was walking in the plaza suddenly stopped to mirar cuando escuchó un grito.
English/Español,The mujer who was cooking in the kitchen suddenly dropped la cuchara when she heard un ruido fuerte.
English/Español,The pájaro that was singing in the tree flew away cuando escuchó un trueno fuerte.
English/Español,The hombre who was walking down the street suddenly decided to correr cuando vio un perro grande coming towards him.
English/Español,El perro that was barking loudly suddenly decided to dormir en el jardín.
English/Español,The hombre who was sitting on the bench suddenly stood up para ayudar cuando vio a una mujer caer.
English/Español,The niño who was playing outside quickly ran para esconderse cuando vio la lluvia.
English/Español,The gato that was sleeping on the roof decided to correr cuando escuchó un ruido extraño.
English/Español,The coche that was parked on the street suddenly started a moverse cuando el semáforo cambió de color.
English/Español,The niña who was reading a book en el parque suddenly decided to correr cuando vio un gato.
English/Deutsch,The mujer who was walking in the plaza suddenly stopped to mirar cuando escuchó un grito.
English/Deutsch,The mujer who was cooking in the kitchen suddenly dropped la cuchara when she heard un ruido fuerte.
English/Deutsch,The pájaro that was singing in the tree flew away cuando escuchó un trueno fuerte.
English/Deutsch,The hombre who was walking down the street suddenly decided to correr cuando vio un perro grande coming towards him.
English/Deutsch,El perro that was barking loudly suddenly decided to dormir en el jardín.
English/Deutsch,The hombre who was sitting on the bench suddenly stood up para ayudar cuando vio a una mujer caer.
English/Deutsch,The niño who was playing outside quickly ran para esconderse cuando vio la lluvia.
English/Deutsch,The gato that was sleeping on the roof decided to correr cuando escuchó un ruido extraño.
English/Deutsch,The coche that was parked on the street suddenly started a moverse cuando el semáforo cambió de color.
English/Deutsch,The niña who was reading a book en el parque suddenly decided to correr cuando vio un gato.
Español/Deutsch,The mujer who was walking in the plaza suddenly stopped to mirar cuando escuchó un grito.
Español/Deutsch,The mujer who was cooking in the kitchen suddenly dropped la cuchara when she heard un ruido fuerte.
Español/Deutsch,The pájaro that was singing in the tree flew away cuando escuchó un trueno fuerte.
Español/Deutsch,The hombre who was walking down the street suddenly decided to correr cuando vio un perro grande coming towards him.
Español/Deutsch,El perro that was barking loudly suddenly decided to dormir en el jardín.
Español/Deutsch,The hombre who was sitting on the bench suddenly stood up para ayudar cuando vio a una mujer caer.
Español/Deutsch,The niño who was playing outside quickly ran para esconderse cuando vio la lluvia.
Español/Deutsch,The gato that was sleeping on the roof decided to correr cuando escuchó un ruido extraño.
Español/Deutsch,The coche that was parked on the street suddenly started a moverse cuando el semáforo cambió de color.
Español/Deutsch,The niña who was reading a book en el parque suddenly decided to correr cuando vio un gato.
