language,sentence,grammaticality
English,The horse that was raced past the barn fell.,1
English,The old man steers the boats.,1
English,The man who hunts ducks goes out on weekends.,1
English,The cotton that clothing is made of grows in Mississippi.,1
English,The florist who was sent the flowers was pleased.,1
English,Fat people who eat too much accumulate weight.,1
English,The girl who told the story cried.,1
English,The dog that chased the cat meowed.,1
English,The raft that floated down the river sank.,1
English,The boy who convinced the girl studied hard.,1
English,The man who was whistling tunes pianos.,0
English,The man who the woman loved and kissed died.,1
English,The author that the critics praised won the award.,1
English,The cheese that the mouse the cat chased ate was moldy.,0
English,The girl who knew the answer was wrong.,1
English,The coach who knew the players would lose disappointed the fans.,1
English,The detective who was examined by the reporter fainted.,1
English,The defendant who was examined by the lawyer fainted.,1
English,The witness who said the defendant lied was nervous.,1
English,The journalist who interviewed the actor was famous.,1
English,The scientist who proved the theory was false.,1
English,The teacher who said the student cheated was expelled.,1
English,The doctor who said the patient recovered was happy.,1
English,The dog that was found in the park was hungry.,1
English,The player who tossed the ball missed the catch.,1
