language,sentence
English,The child throw the toy across the room.
English,The dogs barks loudly every night.
English,She run every morning before work.
English,The students reads their books quietly.
English,The teacher explain the lesson carefully.
English,Yesterday he walks to the store.
English,Last week they eat dinner at a new restaurant.
English,In the morning she drank coffee and then go to work.
English,By tomorrow we finish the project.
English,"Two years ago, they are traveling to Italy."
English,The group of boys are playing in the yard.
English,The team of scientists were conducting an experiment.
English,These kind of books are rare.
English,The furniture in the rooms are expensive.
English,The data is showing strong patterns.
Spanish,La niña bonito juega en el jardín.
Spanish,El problema es muy difícila.
Deutsch,Der Mann sah den Frau im Garten.
Spanish,La mesa rojo está en la cocina.
Deutsch,Der Junge spielt mit die Ball.
English,The hearty meal was devouring the kids.
English,The man the woman the child saw liked laughed.
English,The student answered the man while the woman with the black skirt recommend the book.
English,The officer hoped to proved the case quickly.
English,The paper is in the the drawer.
