language,sentence
English,The old man the boat.
English,The horse raced past the barn fell over.
English,The man whistling tunes patted the dog barked.
English,The horse that was raced past the barn fell quickly.
English,The old man the boat that was sailing sank.
English,The man who hunts ducks out on weekends.
English,The horse that was tied to the post raced quickly fell.
English,The old man the doctor the patient had studied.
English,The man who the teacher praised the student failed.
English,The horse raced past the barn that was painted blue fell.
Español,El perro que ladró a la mujer que paseaba por el parque se sentó.
Español,El hombre que vio a la mujer que paseaba por el perro se fue.
Español,El gato que persiguió al ratón que estaba en la casa salió.
Español,El libro que el profesor recomendó a la estudiante que le gustaba se perdió.
Español,El niño que el maestro elogió por su dibujo sonrió.
Español,El hombre que el perro mordió corriendo se asustó.
Español,La niña que el perro asustó jugando se rió.
Español,La niña que el gato atrapó jugando se asustó.
Español,El hombre que el perro asustó corriendo se fue a casa.
Español,El hombre que el perro que ladraba asustó se fue a casa.
Deutsch,Der alte Mann die Bank sitzend beobachtete.
Deutsch,"Die Katze die Maus fangen versuchte, sprang plötzlich weg."
Deutsch,"Die Frau den Hund füttern wollte, lief schnell nach Hause."
Deutsch,"Der Junge, der den Ball geworfen hatte, fiel plötzlich hin."
Deutsch,Der Lehrer die Schüler lobend betrachtend vergaß die Zeit.
Deutsch,"Der Junge, der die Schokolade gegessen hatte, fiel vom Tisch."
Deutsch,"Der Hund, der den Ball geworfen hatte, rannte schnell, um ihn zu fangen."
Deutsch,"Der Mann, der die Frau mit dem Fernglas beobachtete, schien plötzlich zu verschwinden."
Deutsch,"Die Frau, die den Mann mit dem Hut sah, lächelte freundlich, als er vorbeiging."
Deutsch,"Der Junge, der den Ball, den er gefangen hatte, warf, fiel hin."
